Approach,Type,MAPE,MAE,MSE,RMSE
sarimax_results,STD,1.0,1539.92,27868083.16,2721.95
arimax_results,TD,0.97,1525.96,27657308.21,2646.2
sarima_lm_results,STD,17.67,12921.79,698137086.1,14412.9
arima_lm_results,TD,17.35,15525.21,887933623.68,17312.14
svr,~TD,23.87,38929.0,9593439873.39,39904.36
L2,~TD,4.86,4898.6,179254146.95,6709.81
mlr,~TD,4.85,4895.5,179659039.54,6759.43
xgb,~TD,1.72,3006.66,134311232.08,4686.55
rf,~TD,1.44,2242.57,68323457.71,3878.84
sgd,~TD,5.04,5494.12,223794509.85,7275.05
L1,~TD,5.18,5431.16,203583651.4,7112.04
