projects,mlr,svr,xgb,rf,sgd,L1,L2,ARIMA+LM,ARIMAX,SARIMA+LM,SARIMAX
archiva,24173.55738371573,18405.414996002317,5250.542716437909,8700.690183671686,24735.939367151623,24330.81455920058,24176.59938574519,35072.59,5209.34,42463.9,5278.72
bcel,5302.92479535308,1949.545551085257,828.5939453187631,1004.8370318085288,1146.2428165218955,3307.95204961825,3827.7149528185255,1951.65,771.97,1951.92,1873.13
codec,230.30815734670367,8637.017538750884,100.69332820677384,95.707774765614,274.7816705212399,245.06263282651383,233.4072976623534,1763.26,93.12,1689.69,95.97
collections,870.7108460317213,3486.650022456452,576.2696104687822,651.0314645809472,986.6831927918652,835.9084579434618,863.20175614611,6162.59,465.91,5659.37,494.62
commons-cli,1487.1722127078422,1040.5109143708682,193.76789962347368,75.09088646438843,1476.1948954562722,1473.531066746795,1477.669988334333,2732.46,80.64,2730.29,82.22
commons-exec,58.946987170832905,1390.129502998317,9.090336852263071,8.706440887791262,56.42941230834606,54.016383859659854,49.09634700575749,208.8,5.97,202.99,7.05
configuration,1924.8049942748512,11570.79785156557,554.6313043047404,551.5904356574616,1994.481423366836,2057.9011237365644,1933.5108327658877,3109.64,263.88,3109.91,170.2
dbcp,660.1345997636628,661.8755099031971,474.1963581307433,286.44116156073864,706.6797834972147,910.9238161410155,731.1102914655587,825.81,346.22,825.81,517.55
hive,45796.01087721834,389389.8567601201,45194.73710205102,25955.15106427586,49495.26991242432,46759.75176524913,45793.688118619866,87449.36,16530.98,86936.03,16530.98
httpclient,2336.778996229871,16405.819502085364,3801.1618011914657,3185.842960536959,2921.020469940957,2836.228050964742,2330.0760011117945,21337.44,2915.53,21339.24,2915.53
httpcore,4586.608897375472,28966.48892191865,2169.802665505375,2917.888392440161,5546.578820140323,4746.796572891965,5087.37441044455,52239.14,1673.08,51544.74,1673.08
jxpath,1137.984998828889,1166.779367045409,80.61190053333299,32.507679147638875,1033.6615233463897,1099.5217583741116,1114.210467048262,350.51,13.43,917.26,13.53
santuario,8054.288121017613,44808.96999785502,957.1212897775426,825.6158276181222,6810.22614564478,7730.436326870348,8049.223094232114,14908.1,749.86,13630.39,830.62
validator,787.5010253443951,1763.3851066348773,147.64650323209136,146.67024541286142,848.5107596777309,824.8427821300643,792.5547491938701,1252.08,45.93,1239.07,86.62
