PROJECT,MAPE,MSE,MAE,RMSE
archiva,17.238190975109458,383722261.4071267,15888.790336324048,19588.830016290576
batik,25.81082578026325,1404024917.412385,29319.242589825502,37470.32048718539
bcel,2.341034305474839,10935115.510844847,1289.7366805755373,3306.8286183055884
beanutils,1.7441574100865647,3148898.5777020617,981.8013152497053,1774.513617220804
cayenne,4.593188377648427,128536819.99234164,10160.569180079852,11337.407992673707
cocoon,11.566509742629332,1478534083.6286137,32147.994548764786,38451.71106243016
codec,0.8355445699590615,34637.88191806633,136.35688555799197,186.11255174776988
collections,1.5198897041441326,1032205.444004154,788.3252296061511,1015.9751197761459
commons-cli,19.843384636754607,2379663.8777415375,1528.8669552493898,1542.6159203578632
commons-exec,0.679794128353989,1712.3436893939158,35.33367282867861,41.3804747362076
commons-fileupload,7.028590577625951,273233.2267069718,389.7777680560561,522.7171574637395
commons-io,8.212525180158314,12714692.836204043,2918.7952714370185,3565.7667949830993
commons-jelly,7.24703671430592,10057228.454609295,3101.730100582778,3171.3133643033916
commons-jexl,15.165267438089453,7922496.652776485,2305.4111289831176,2814.692994409246
configuration,4.663288906678308,5411306.993984773,1972.2325586484458,2326.221613257166
daemon,2.0421259944956414,6925.602952601352,82.11668031484349,83.22020759768237
dbcp,4.746172256510164,743089.8138412099,691.062248867656,862.0265737442262
dbutils,0.974149604656906,5298.476225308943,65.19934704973967,72.79063281294471
digester,2.0771556249869203,354999.08617823554,551.7689442312834,595.8179975279662
felix,2.2576901708045605,40662277.4610105,5117.241972096821,6376.698006100845
hive,7.670124323246386,3775834534.2783127,47700.884166338794,61447.81960556707
httpclient,2.4869967853282877,5205364.230641818,1554.086852771489,2281.526732396931
httpcore,5.960199914786121,44729636.16452967,4322.143615538181,6688.021842408237
jxpath,3.226483652997546,1212149.6362021063,950.9665880930625,1100.9766737774721
net,1.7355209047903226,309850.4154178049,509.15462007189274,556.6420891540675
ognl,2.9088720976000175,628575.3515390111,789.2547605904829,792.8274412121538
santuario,5.768988616844125,115923027.18782839,6956.422754045947,10766.755648189866
thrift,10.23433869688889,5264150.519809836,2122.8197711490056,2294.373666125428
validator,4.130377216168042,742960.8163076472,652.8006493832434,861.9517482479208
vfs,1.9935003992471452,480762.62605192437,537.5903734792905,693.3704825357972
zookeeper,1.2555472200369922,713496.1308215612,792.7770778994396,844.6870016885315
