PROJECT,MAPE,MSE,MAE,RMSE,AIC,BIC
digester,5.2,3036692.57,1470.89,1742.61,2679.2155078820256,2723.6581773359244
collections,8.44,23781803.26,4067.05,4876.66,2037.2965085868832,2082.421013636564
commons-fileupload,11.04,353448.88,543.86,594.52,1364.3003322388408,1394.2038198230869
jxpath,0.94,90483.4,276.01,300.8,2331.6451708261607,2376.8047002376043
commons-jelly,2.41,1505199.61,1018.15,1226.87,2889.207299174848,2933.961398500473
dbutils,6.1,232419.07,440.21,482.1,1079.2607543816434,1105.6080442639395
cocoon,8.78,874382617.49,25598.26,29569.96,720.7916500008448,746.5663366031524
cayenne,,,,,,
hive,48.41,43076810808.37,186734.28,207549.54,1196.3291399933148,1229.8386529888685
bcel,2.54,3313117.48,1429.31,1820.2,1855.065526910847,1898.9743321882047
zookeeper,,,,,,
felix,8.25,1030093313.49,23678.92,32095.07,662.562637820169,687.4482068039996
beanutils,1.27,745645.18,707.53,863.51,2671.9000082513444,2717.2582160640386
commons-cli,34.01,3960216.79,1952.35,1990.03,2235.896679531873,2276.042161838251
commons-exec,4.03,65600.69,204.05,256.13,1259.0010029460695,1293.9885254150483
net,5.18,2772106.03,1437.21,1664.96,2004.303531249113,2050.7879277041275
batik,,,,,,
ognl,,,,,,
santuario,5.11,55506360.54,5742.84,7450.26,2437.884378016252,2483.764929223541
daemon,2.54,10609.4,99.6,103.0,1328.8943850702117,1346.281423869917
commons-jexl,,,,,,
httpcore,12.84,253102578.1,12091.14,15909.2,1708.2070364657843,1750.6704020683048
thrift,,,,,,
configuration,20.05,61731281.2,6629.81,7856.93,1971.294114837088,2015.6250688285384
commons-io,16.87,42502058.21,4840.71,6519.36,1906.4716980687065,1952.10418229142
httpclient,21.41,392868180.19,18077.76,19820.9,1576.16835845566,1616.3421105599296
archiva,42.14,934217370.48,25273.38,30564.97,1130.3203019489051,1161.540201446208
validator,11.12,4481745.12,2041.76,2117.01,2143.082315506412,2187.9388043080926
dbcp,6.57,985593.94,922.3,992.77,1925.752625035951,1966.322382235264
codec,8.42,2243562.35,1275.31,1497.85,1722.3828657220834,1762.6356282468994
vfs,4.3,2697927.62,1073.61,1642.54,1945.8272008419767,1992.192637641192
